65,-4,6,-12,-18,22,8,-17,14,1,0,56,-45,-19,-38,27,-2,27,-49,21,-10,-26,11,39,11,20,22,-13,-35,-13,48,-43,23,-2,-4,-27,-23,-37,2,4,-1,-3,57,-6,2,10,14,-2,-5,45,-22,-26,-43,18,-22,41,-20,-24,37,-4,-21,47,-11,-7,-33,-3,10,1,-7,-14,11,12,-9,18,17,13,-13,-43,-11,3,-16,-51,-23,-7,1,-35,54,-19,-14,-4,-18,-40,29,-6,36,22,-15,0,19,-32
-1,44,-13,-8,1,4,17,21,5,-24,0,-10,-23,-18,-9,4,-20,-23,19,-24,-26,13,32,-16,-2,2,-25,14,19,-22,-28,-31,-10,18,-33,-9,23,12,-16,16,33,13,-23,-33,27,-16,-25,52,5,-18,-20,8,30,5,-7,-13,-10,35,-43,56,-34,-9,36,-1,19,4,9,-30,-30,9,5,-25,2,-30,-12,-11,38,38,60,-33,-7,-26,55,50,-39,18,-20,-32,-19,-38,-37,12,41,59,-20,-29,31,0,-2,-25
9,-12,58,28,-9,26,24,30,-1,10,0,33,11,39,19,-14,-20,24,-18,19,23,-5,-59,22,40,5,0,46,35,56,20,-16,7,22,9,-9,-41,9,10,18,18,-23,-8,-9,-9,40,45,26,-7,-5,53,-47,15,-7,-22,30,38,35,-34,7,-32,1,13,-4,22,-2,-76,23,-16,5,-36,-1,19,-24,-8,-14,5,14,-3,49,-15,-7,11,-12,-16,-12,13,-16,2,-17,6,42,-18,-21,17,43,-33,0,4,-20
-24,37,5,-15,-7,3,31,16,-14,-20,0,8,17,11,42,-20,11,11,39,14,32,-44,-30,36,32,-38,8,-28,23,-7,-3,12,23,-18,-27,46,27,9,0,-20,16,20,-14,-11,11,-7,1,-29,9,-31,-4,29,18,-12,31,20,41,-25,11,-31,30,-37,40,-8,40,33,-17,-22,-49,-36,33,-28,-14,-10,5,46,38,10,-28,25,50,19,-56,25,-34,-23,-27,11,7,-34,10,-6,24,-22,15,36,-30,0,2,1
23,42,-9,8,-25,27,-22,-17,-5,22,0,8,3,-14,-11,-29,32,-40,1,-16,-51,12,-21,-19,-45,10,-1,-15,-28,6,-20,27,-54,9,32,-28,-1,22,19,-3,5,41,-28,-11,-19,40,27,-3,-25,22,10,20,-32,28,-26,-44,-20,-24,-3,26,35,-28,40,25,-19,-44,4,12,30,26,-36,19,-14,29,-44,-34,7,-23,0,-38,-9,36,2,49,21,17,9,-1,40,25,-7,-23,-10,21,-33,-20,2,0,-50,27
-37,-28,3,-7,67,-48,-47,-8,-11,-6,0,-35,-44,11,26,56,6,46,25,8,-6,10,44,22,-27,-49,32,-14,-7,0,-6,35,5,-1,-9,14,12,-31,-46,48,-56,-14,24,-17,55,4,-5,0,20,21,-6,-2,-14,-14,-2,-22,-8,-10,10,-35,-8,19,-42,12,-14,36,34,4,17,-17,-8,38,19,-19,-23,14,-50,6,-18,8,40,20,-10,-26,-8,30,-25,7,2,-14,9,16,11,2,9,-9,32,0,-13,32
-6,1,-25,55,-5,-29,-28,-5,23,-22,0,-18,11,-18,-43,11,37,-12,-31,41,-18,24,1,-17,-35,18,-26,-7,-4,36,-4,-45,-31,-21,31,-28,-8,-4,-21,-37,-26,-12,-2,-13,-9,-6,22,-13,16,-15,24,-25,29,37,-37,-28,-24,31,-26,-23,0,18,-27,-11,-12,23,15,31,26,31,-8,-41,26,50,46,37,-22,-10,36,-37,-12,-3,10,1,-16,-12,33,-52,29,15,-43,-19,-5,33,30,-31,12,0,-23,-41
-7,12,20,-43,-11,-19,5,51,58,47,0,-6,39,44,-33,-5,16,-1,-34,-29,34,-33,8,-12,10,18,-36,28,24,-9,-36,4,38,-18,-40,-17,-41,-32,32,-10,1,10,-18,19,-12,1,-4,37,-47,1,-34,-11,-31,0,33,-3,34,25,31,10,11,-17,2,59,5,-13,-5,-47,-20,41,23,34,-29,-3,5,-5,-3,-8,18,3,-23,-38,12,5,26,-31,-25,26,5,1,41,28,36,-4,-31,13,14,0,12,-14
-23,-27,-31,-10,-29,17,0,-31,-10,-40,0,-30,2,-10,8,-40,-1,-11,0,0,-16,28,-9,-47,-3,16,36,31,8,-25,34,0,-8,-42,22,6,24,33,0,-38,1,-52,30,24,-49,-26,-40,-47,40,26,-41,21,23,-59,14,17,-10,-5,1,-4,3,28,-25,-12,23,-30,9,27,27,5,5,-28,28,4,0,-28,4,37,-2,-8,-48,4,21,-32,23,33,-7,31,1,30,-19,14,-47,-33,9,-15,-45,0,19,28
29,-38,-24,2,6,9,21,-38,-38,26,0,12,21,-42,1,4,-49,-37,21,-33,22,12,24,-12,14,21,-25,-43,-44,-30,-5,18,4,45,11,26,19,12,26,3,24,27,-14,44,-8,-43,-34,-11,-18,-39,23,24,-3,23,24,5,-34,-33,13,16,7,-13,-12,-49,-40,-14,20,-11,10,-36,17,3,-38,0,27,-14,9,-36,-26,1,17,14,-11,-29,31,-6,16,19,-51,30,32,-44,-37,-8,-28,-18,28,0,32,11
