-18,14,-1,0,-18,-5,8,13,-6,-31,-12,-2,31,-1,-23,27,10,12,14,0,34,3,-38,13,-9,-3,-13,0,-22,-9,-5,31,0,-30,-7,4,14,-33,1,-9,14,7,-15,5,-19,-8,6,7,-4,2,4,3,17,-5,-11,-22,-7,22,28,-4,23,-11,3,8,-15,5,16,-1,-4,9,5,12,-12,10,-34,-3,20,-3,-2,32,-23,16,-13,-12,24,-18,1,-26,24,-6,19,-8,24,46,4,-32,32,2,-4,-11,-46,19,23,0,27,-4,25,22,-13,15,14,10,24,10,0,-16,-2,-24,-20,1,-8,-1,-12,0,-37,6,-18,-7,-7,19,-17,30,25,32,11,-14,-30,0,0,-2,33,-4,-10,8,-32,1,-8,5,-36,-5,-32,-18,-13,9,-35,-21,15,6,9,-12,-8,-4,-5,-31,-2,-15,-13,-10,13,-18,-16,-9,-9,-28,6,-6,-6,-32,35,-28,29,43,10,-23,-8,-3,-5,-16,-15,-14,-1,-29,-23,0,7,39,-39,-11,-9,17
7,-19,12,0,34,19,-1,-4,-12,-16,11,27,-21,11,10,0,-34,20,-8,-32,-10,-1,-6,-2,-17,-6,9,-16,8,34,41,1,34,10,6,-19,-17,22,-30,8,44,-22,-13,-2,20,17,20,-18,12,0,-27,13,-14,48,-10,15,15,10,-15,-4,-4,4,-2,-14,18,11,-34,22,42,-13,-13,11,-7,12,2,-15,-30,5,-16,7,1,8,1,-2,-27,-21,-14,23,0,-2,-6,37,-7,-3,-7,-2,-31,-17,-3,13,7,4,11,-1,-13,55,-27,-23,16,4,-18,13,-20,-24,-3,6,18,13,22,-4,10,17,-13,3,-16,1,-19,-10,-4,-18,-24,-8,22,43,-13,-12,-2,-5,0,-24,-21,-7,31,0,-13,-11,57,-16,9,-16,20,-14,-3,7,-19,8,-11,-5,0,6,-19,5,-22,28,-24,28,-20,-20,-5,14,5,34,15,-21,-15,31,-5,-28,-30,-17,-10,-4,16,8,16,-19,16,9,5,3,-11,-16,9,0,7,-1,5,26,8,4
27,-13,-36,0,-8,27,-42,-5,0,-25,-25,6,20,20,-15,-1,-23,22,29,-9,-1,-14,-27,11,3,-2,-13,-21,21,21,18,19,-27,-9,-39,6,42,14,3,4,-7,-14,18,13,16,-6,7,36,7,10,-5,-1,13,-7,4,13,27,7,12,-6,3,-4,23,16,7,21,-21,10,9,-9,33,-9,3,-46,-24,-14,-10,0,1,23,-6,-16,3,17,-4,4,18,-6,11,6,13,-28,3,-8,3,-21,-4,-17,-6,15,-1,-2,12,0,1,-9,34,22,5,-16,36,-41,22,28,-24,23,-13,29,-1,-9,-5,-12,26,0,-20,2,29,9,7,31,21,1,20,-1,19,12,20,-5,1,-7,8,7,15,-1,32,40,-9,9,22,-12,0,-12,-34,-55,16,-28,5,13,-54,6,-19,25,-9,-3,-7,-9,-5,-9,12,17,10,23,8,-11,18,-6,13,-11,-15,6,-10,3,-16,27,10,32,10,23,39,-5,22,-2,-14,0,-7,-12,4,5,2,11
12,-10,-18,0,27,-10,13,-26,-18,30,-18,13,11,-11,41,-34,-8,34,0,0,-16,-9,1,-25,-17,-4,5,-3,11,19,-26,-19,-24,29,18,9,-15,21,-22,6,-5,23,16,-7,19,-26,7,8,-20,-2,19,18,-8,16,-19,-20,-26,1,18,-6,1,-15,9,-6,-31,-25,21,-32,45,17,3,-14,-15,16,2,38,4,-8,-18,6,-10,-31,14,-6,-13,4,-10,26,-12,-8,-19,-1,2,-15,-11,11,5,2,-11,-17,26,-3,13,3,2,-17,21,13,-6,10,23,-12,6,-10,-11,30,-21,-13,29,2,-4,5,11,-1,30,18,16,-2,2,9,-5,-4,-1,-23,-6,10,-2,-5,-1,-27,-3,5,-34,-7,-9,14,7,29,3,-19,22,46,29,-22,-4,-23,23,-18,-18,29,-39,2,-17,13,6,-46,-4,22,14,18,1,-39,27,-5,13,13,1,13,-17,9,-7,-7,31,0,21,22,-18,1,-23,9,4,21,44,0,-2,-30,27,-9,12,-20
-9,17,-28,0,0,-29,-14,-28,21,19,21,12,-15,-22,8,27,13,-6,16,2,-13,2,22,19,11,-8,-24,-20,-12,0,0,27,-7,13,16,17,19,-17,14,-5,-11,1,13,-30,-5,7,1,-29,14,-13,-43,-9,23,51,4,-5,-14,-18,-8,3,-6,9,-19,16,16,-15,-1,17,16,-28,-9,1,11,23,5,-30,-14,25,11,-6,9,-35,-23,-2,-7,16,9,-3,7,7,-2,-9,9,-21,5,11,7,24,-36,-24,-1,-13,-30,1,-34,11,-33,-16,-13,44,-10,-15,-48,15,27,-18,10,-4,-14,-5,30,29,15,0,27,-22,-27,-4,-2,-2,-21,-30,-10,6,21,-22,12,21,1,25,-17,-15,5,4,22,-29,-11,-33,5,16,-17,8,13,0,9,26,-22,32,5,-2,23,2,13,-22,9,15,-5,5,-41,-12,-25,8,-22,18,-41,12,14,19,-2,16,-13,11,-5,-19,8,-12,-30,-11,-6,-19,-9,-13,-4,0,5,9,-5,-20,-16,18
-7,-28,29,0,24,7,16,27,-20,25,1,-44,15,-11,-26,-22,7,-22,8,3,15,7,7,-13,5,5,-2,41,-9,-8,6,-38,34,7,-12,6,1,-1,2,13,26,-20,-18,9,-11,2,-40,20,-14,27,31,-25,-13,-22,-2,21,-11,-35,-2,13,-7,31,3,-12,-15,-17,4,-29,-46,-1,14,6,14,-8,-1,25,-4,-1,-2,-44,2,27,2,10,14,-12,-11,-16,-22,4,10,26,-42,-6,7,9,-4,6,51,4,25,43,-27,-1,-19,2,-3,-6,20,-13,-4,36,19,-3,20,-5,-12,8,0,3,-2,-19,1,0,16,18,12,-11,2,6,12,11,13,-4,20,-8,-5,-18,-1,0,-8,-9,-13,-4,4,-3,26,-6,4,23,1,26,18,30,-33,16,-8,0,25,-20,24,-6,-8,2,14,4,-11,13,10,-10,-9,7,-6,19,-8,-21,7,21,13,8,-13,-30,-3,2,-15,3,5,-6,-10,52,-12,-27,22,0,-32,18,26,-12,12,-35
-12,10,34,0,-20,34,-8,15,23,-16,9,-17,-10,-10,17,2,-22,-17,13,-42,11,18,11,2,31,6,-5,44,-2,-16,-13,-12,-7,-25,-17,31,-9,-3,37,-4,3,-8,-6,11,-9,6,-18,-26,-14,-15,-12,33,24,-2,36,12,14,9,29,-5,40,-10,-18,-16,20,23,-22,-10,-15,-23,-26,15,-17,8,7,7,-22,0,-15,-21,-17,1,-10,10,2,-20,22,-17,-10,13,-14,33,-2,18,-12,-13,24,27,-11,34,-34,5,-12,5,4,-6,-24,12,-26,19,-30,5,-10,26,4,-17,9,-11,-10,3,-3,-7,14,0,-30,9,-24,16,7,25,-29,18,-6,7,-11,1,3,-24,2,20,-20,0,18,-1,5,-25,-13,-17,-2,12,6,-16,-13,16,16,-19,-30,-17,18,-17,4,20,-20,-11,-28,20,12,-17,-24,-8,-24,-31,-15,-37,5,8,1,-40,-6,17,12,6,3,2,-8,-26,37,-1,-6,-10,-25,25,-17,0,-1,6,-34,27,-3,-19
33,17,3,0,-17,-3,11,-14,-18,-22,-22,-4,3,35,16,10,11,0,0,20,-5,-2,-2,25,-31,-1,-3,-5,19,22,23,3,11,-2,6,-1,-12,-1,-29,-30,13,20,-5,-17,13,-6,1,-13,5,-8,-6,8,-30,2,-32,-3,29,6,-22,0,-24,19,-2,-22,38,4,15,7,4,25,18,-3,-1,2,-1,8,28,7,36,5,-15,-1,55,-9,-21,26,-42,-23,2,-19,-14,-9,1,7,-26,21,-16,5,10,1,-31,-3,6,-1,-12,11,-1,-15,14,15,10,6,8,-19,21,33,-12,-5,-29,-1,16,24,0,0,0,-43,31,-29,-7,-10,29,-19,19,6,10,33,-32,13,0,-14,19,-8,6,4,-33,17,-4,24,-25,8,-10,-16,-24,-1,25,-6,4,16,3,-17,-5,9,13,-17,-17,-3,7,-17,17,29,26,5,-23,20,14,13,-32,8,-1,4,8,-1,43,31,32,20,-14,32,20,-10,-5,17,-18,0,9,2,-23,31,-41,17
0,5,-18,0,-39,-24,16,-8,20,-4,18,3,-6,-16,-23,-19,18,-22,-29,15,10,-1,8,-40,16,0,21,-21,18,-36,-38,-11,-23,7,14,-10,-49,5,8,21,-35,-2,-3,13,9,8,6,-2,9,-17,-3,-23,-27,-23,17,-14,6,-5,-11,7,5,-29,20,26,1,37,4,14,-20,3,-3,-20,21,-20,18,-15,15,3,-24,-3,22,14,-12,-1,27,-15,19,20,0,10,25,-28,10,9,27,-3,10,6,-12,10,4,-40,-6,-3,33,-24,-4,0,-28,-18,-21,-12,-3,-32,1,-21,15,17,19,2,6,-33,-12,0,4,11,-5,24,4,-30,2,19,-32,-35,-23,-10,15,10,-1,2,12,1,-4,-2,-17,-16,-32,-6,-9,20,23,-45,-8,8,5,18,8,-28,-2,11,32,-25,10,22,18,19,3,21,-8,4,2,-15,23,0,-3,3,20,1,21,4,4,-19,-30,-3,-17,-17,11,3,28,-30,24,1,-21,0,10,-39,-1,0,26,-5
-37,15,28,0,10,-12,2,26,8,11,15,19,-30,7,1,27,13,-9,-39,20,-17,1,8,19,-2,8,20,-6,-36,-20,0,16,12,-15,17,-40,16,-16,8,-14,-26,15,3,-1,-34,9,20,-6,8,5,18,2,21,-33,8,-6,-26,20,-20,-4,-16,-4,-25,-4,-28,-31,8,12,-10,14,-37,9,-11,21,14,-10,8,-25,21,18,19,15,-19,-16,-1,19,0,15,12,-11,-16,-3,15,-5,1,2,-15,-33,2,-21,16,-11,22,-2,16,-1,2,-10,19,-36,-10,13,-8,7,-33,-22,16,-24,-5,5,-33,11,-37,0,-1,-9,-18,7,-8,-27,5,-13,-36,1,-34,3,2,11,-1,19,0,23,-2,4,15,-1,-6,4,9,-33,-22,19,22,14,9,16,10,0,20,12,-5,-23,31,6,9,-7,27,-7,2,-34,19,13,-7,16,6,-30,-25,13,1,-32,13,22,-31,-32,-30,-17,-8,-34,-38,3,0,16,6,0,16,21,9,-21,-5,24
